i,sender_loss,receiver_loss,train_accuracy,entropy,listener_entropy,topo_measure,d_entropy
0,0.2743188738822937,0.05042603984475136,13.0,9.201055526733398,1.6029839515686035,0.07146565203732443,9.201557159423828
100,0.6438941955566406,0.11440006643533707,17.0,9.206622123718262,1.603586196899414,0.07146565203732443,9.201557159423828
200,0.46674853563308716,0.07906021177768707,14.999999046325684,9.204512596130371,1.5939947366714478,0.07146565203732443,9.201557159423828
300,1.1067957878112793,0.19779688119888306,22.0,9.205751419067383,1.602783441543579,0.07146565203732443,9.201557159423828
400,0.9189919829368591,0.16054745018482208,19.999998092651367,9.206395149230957,1.6050106287002563,0.07146565203732443,9.201557159423828
500,0.8263223171234131,0.1440681517124176,19.0,9.2059326171875,1.6056714057922363,0.07146565203732443,9.201557159423828
600,0.08950992673635483,0.023497505113482475,11.0,9.204080581665039,1.604305386543274,0.07146565203732443,9.201557159423828
700,1.3845115900039673,0.24287492036819458,25.0,9.203619956970215,1.601484775543213,0.07146565203732443,9.201557159423828
800,1.194386601448059,0.20002251863479614,22.999998092651367,9.206066131591797,1.600372314453125,0.07146565203732443,9.201557159423828
900,1.1091794967651367,0.18891456723213196,22.0,9.206061363220215,1.6030417680740356,0.07146565203732443,9.201557159423828
1000,1.284601092338562,0.22270281612873077,24.0,9.206828117370605,1.604988694190979,0.07146565203732443,9.201557159423828
1100,0.8274143934249878,0.1521269828081131,19.0,9.20632266998291,1.6047301292419434,0.07146565203732443,9.201557159423828
1200,1.0159387588500977,0.18616096675395966,21.0,9.20564079284668,1.6042104959487915,0.07146565203732443,9.201557159423828
1300,1.2901870012283325,0.22120992839336395,24.0,9.20599365234375,1.6043438911437988,0.07146565203732443,9.201557159423828
1400,1.0154110193252563,0.18149195611476898,21.0,9.207324981689453,1.6047183275222778,0.07146565203732443,9.201557159423828
1500,1.289377212524414,0.2209678292274475,24.0,9.207422256469727,1.604822039604187,0.07146565203732443,9.201557159423828
1600,1.3836026191711426,0.24115005135536194,25.0,9.205658912658691,1.606065273284912,0.07146565203732443,9.201557159423828
1700,1.2794796228408813,0.2289058268070221,24.0,9.203949928283691,1.6055526733398438,0.07146565203732443,9.201557159423828
1800,0.7296532988548279,0.13458451628684998,18.0,9.205183982849121,1.6053335666656494,0.07146565203732443,9.201557159423828
1900,1.011446237564087,0.18140296638011932,21.0,9.20577335357666,1.6055126190185547,0.07146565203732443,9.201557159423828
2000,0.6487767696380615,0.10985255241394043,17.0,9.201620101928711,1.605182409286499,0.07146565203732443,9.201557159423828
2100,0.5467929840087891,0.09633992612361908,16.0,9.204345703125,1.6074761152267456,0.07146565203732443,9.201557159423828
2200,0.8267673850059509,0.14544972777366638,19.0,9.20768928527832,1.6073567867279053,0.07146565203732443,9.201557159423828
2300,0.9206835627555847,0.16383981704711914,19.999998092651367,9.207879066467285,1.603549599647522,0.07146565203732443,9.201557159423828
2400,1.0107271671295166,0.1758289635181427,21.0,9.207080841064453,1.6052815914154053,0.07146565203732443,9.201557159423828
2500,0.8241869211196899,0.14692731201648712,19.0,9.2064208984375,1.6065157651901245,0.07146565203732443,9.201557159423828
2600,0.8200957775115967,0.14304381608963013,19.0,9.20283031463623,1.6058242321014404,0.07146565203732443,9.201557159423828
2700,0.8288732171058655,0.1447325348854065,19.0,9.207197189331055,1.6025490760803223,0.07146565203732443,9.201557159423828
2800,0.7349595427513123,0.12562762200832367,18.0,9.208059310913086,1.6063309907913208,0.07146565203732443,9.201557159423828
2900,0.9210039973258972,0.15888024866580963,19.999998092651367,9.208794593811035,1.606233835220337,0.07146565203732443,9.201557159423828
3000,0.9225143790245056,0.16160769760608673,19.999998092651367,9.208855628967285,1.605664610862732,0.07146565203732443,9.201557159423828
